epoch,acc,loss,val_acc,val_loss
0,0.12118847204456494,2.3761543761634583,0.18127090301335588,2.235438900727492
1,0.23273315123141733,2.156766433986681,0.30211817169003397,2.076258850522929
2,0.3485144099481356,2.0057618183610937,0.3973244147290088,1.9240609558928372
3,0.4488544511923962,1.8504635279869328,0.49877369009132766,1.7643765627606922
4,0.5403868666068122,1.6934675387670592,0.5698996655651293,1.6129738254291957
5,0.6080606499771668,1.5436438578175518,0.6365663322317959,1.4685683683939734
6,0.663414906083863,1.4017811700169263,0.6896321070234114,1.332556987632743
7,0.7074530353161516,1.2708322956806721,0.7404682274247492,1.2092867190223873
8,0.7442443837283002,1.1545848360999424,0.7625418060200669,1.1003885212284799
9,0.7736774624852647,1.0530782131269176,0.7897435897568795,1.0078183312081175
10,0.7986509838798811,0.966579870892193,0.8100334448293433,0.9264352767762531
11,0.8187189921234169,0.8902733827675258,0.8247491638928884,0.8571011481609365
12,0.8358882880774394,0.8236250163746077,0.8423634336810712,0.7951851141891352
13,0.8493784492022085,0.7647339108098051,0.8593088071481839,0.7426661628145836
14,0.8634817994546649,0.7129785322420001,0.8668896321203132,0.6935285564117474
15,0.870394113407505,0.6660886444577113,0.8767001114960099,0.6493028241787999
16,0.8812642845430199,0.6250298686487112,0.8816053511838583,0.6128811555296814
17,0.8883995763719517,0.5884262916734635,0.8920847268806253,0.5773007186227286
18,0.8958693349917628,0.5551294121722844,0.8965440356877602,0.5466557808145631
19,0.9021684598036253,0.5251216281848552,0.9003344481738249,0.5203334008570898
20,0.9072969508008937,0.49785372114970977,0.9036789297791761,0.4946584514816735
21,0.9122024639121027,0.4731027714962531,0.9128205128338026,0.4695050746833733
22,0.9180556330016852,0.44995434105851473,0.9159420289987971,0.44762953499222013
23,0.9218462567590167,0.42896264468529094,0.9170568562005808,0.42812205759046335
24,0.9249122024639055,0.4089979682886266,0.9259754738148506,0.4086472462252231
25,0.9293160154087314,0.39138676634074865,0.926421404695564,0.3917804474681782
26,0.9323819610737486,0.37450449689421156,0.9315496098237691,0.3767926848320126
27,0.935726629155317,0.3591387456320249,0.930880713502699,0.3612728676601929
28,0.9379564078497816,0.3444534854314367,0.9371237458326878,0.3465579269921102
29,0.940799375685224,0.3305732827907529,0.9393534002362552,0.3342022839929481
30,0.9434193656279615,0.31750488208152156,0.939576365676612,0.3218414684601851
31,0.9453704219690048,0.30584675315843324,0.9426978818416064,0.311857191621925
32,0.9472657338592997,0.29456445761492195,0.9442586399241036,0.30120753703042946
33,0.94860360111585,0.28403951247185394,0.9478260869698115,0.2906521428588242
34,0.9509448687217794,0.27360297775556297,0.9487179487312385,0.28204212469134976
35,0.9523384803958518,0.26450670715578223,0.9493868450523087,0.2714579085176738
36,0.9543452812142247,0.25509754894828246,0.9511705685751627,0.2626054995434739
37,0.9555159150454318,0.2472462662877204,0.9522853957769464,0.25589292320519386
38,0.9572439935569002,0.23898512121194235,0.9522853957769464,0.24985667401997408
39,0.9586376052176822,0.23170902757077413,0.9556298773822975,0.2405320511813148
40,0.9607001505333203,0.22391087787659963,0.9567447045840813,0.23299404056441692
41,0.9616478064385962,0.21730833252547901,0.957859531785865,0.22835992838493824
42,0.962428228998272,0.2106989072420318,0.9580824972262217,0.2204197322378722
43,0.9646022632486333,0.20411487460797617,0.9600891861894325,0.21539036614307458
44,0.9646580077159949,0.19820191650507848,0.9594202898683623,0.20980481637627252
45,0.9659958749326737,0.1924882699390792,0.9605351170701459,0.20539726473415976
46,0.9671665087240091,0.18685160390897715,0.9620958751526432,0.19965574332702918
47,0.9677796978649869,0.1819483909210411,0.9623188405929999,0.1939729982395236
48,0.9690060761469425,0.1764875877972756,0.9641025641158539,0.19047812016113944
49,0.9700094765827099,0.1717491353214023,0.9647714604369241,0.18469040179863955
50,0.9707341546584108,0.16689033596499972,0.9661092530790646,0.18075318441476046
51,0.9716260661361967,0.16246280893064594,0.9667781494001348,0.1764665019950739
52,0.9722949997212776,0.15835363420480417,0.966555183959778,0.1732530644639014
53,0.973688611405318,0.15431886708005774,0.9687848383633455,0.1681436172430066
54,0.9746362673504655,0.15001807458031316,0.9683389074826321,0.1644744842746186
55,0.9750822230893584,0.1461038974633598,0.9705685618861994,0.16007801650492776
56,0.9760298790577643,0.1422832243747154,0.9712374582072697,0.15765394371754615
57,0.9769775349796532,0.13871270315124076,0.9694537346844158,0.15396758187707585
58,0.9779251909480591,0.1351076778342369,0.9705685618861994,0.1507812984146535
59,0.9782039132449957,0.1318059657035886,0.971014492766913,0.14913747382403217
60,0.9788171024025866,0.12897071200799592,0.97190635452834,0.1454294221324134
61,0.9799319917332057,0.12572378794334493,0.9725752508494102,0.14152574188334488
62,0.980489436423435,0.1228257358772771,0.9734671126108372,0.13831483626046706
63,0.9806566698255198,0.11939410337008816,0.9739130434915506,0.13552116269251974
64,0.9812698589664975,0.11663355397890028,0.9736900780511939,0.1330349292045453
65,0.9818830481307337,0.11400815453213177,0.9736900780511939,0.13095473346104192
66,0.9825519817158147,0.11122023891149851,0.9748049052529776,0.1295820202981615
67,0.9832766597915157,0.10860890143632597,0.9741360089319074,0.12606731189400322
68,0.9834438931936005,0.10615927542018992,0.9748049052529776,0.12378073019061732
69,0.9843358046713864,0.10338261692077994,0.9761426978951181,0.12110505326004198
